1-> | Recognise - Lost Frequencies
2-> | No Son Of Mine - Foo Fighters
3-> | bellyache - Billie Eilish
4-> | Zombie - The Cranberries
5-> | Will They Won't They - Jeremy Shada
6-> | 22 - Taylor Swift
7-> | Undercover Martyn - Two Door Cinema Club
8-> | OK - Wallows
9-> | Paper Planes - M.I.A.
10-> | Abúsame - SERBIA
11-> | Space Girl - Frances Forever
12-> | Wondering - Acoustic Video Version - Cast of High School Musical: The Musical: The Series
13-> | drivers license - Olivia Rodrigo
14-> | Ludo and Hoggle - Billy Cobb
15-> | Born to Be Brave - From "High School Musical: The Musical: The Series" - Cast of High School Musical: The Musical: The Series
16-> | Rothko - Kid Jupiter
17-> | Calla Tú - Danna Paola
18-> | Heartbreaker - Pat Benatar
19-> | Pachuco - Maldita Vecindad Y Los Hijos Del 5to. Patio
20-> | Moonlight - Grace VanderWaal
21-> | Lie Lie Lie - Joshua Bassett
22-> | Me, Myself - Danna Paola
23-> | Skin - Sabrina Carpenter
24-> | Mr Saxobeat - Radio Edit - Alexandra Stan
25-> | All My Favorite Songs - Weezer
26-> | Everybody Talks - Neon Trees
27-> | I Want You Back - The Jackson 5
28-> | Need You Tonight - INXS
29-> | Honeysuckle - Addison Grace
30-> | The Moneyz - Rare Americans
31-> | Tu Falta De Querer - Mon Laferte
32-> | I CAN'T STOP ME - TWICE
